case_id,split,validation_status,query,expected_answer,query_profile,marketing_domain,analysis_task,business_objective,funnel_stage,metric_family,scope_type,temporal_granularity,difficulty,evidence_type,answer_mode,language_style,risk_types,campaign_ref
adversarial.c0191.causal-overclaim,tune,needs_review,[그로우랩] 여름 컬렉션 | 리드 생성 | 2025-04 | C0191 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,lead_generation,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0191
adversarial.c0192.causal-overclaim,tune,needs_review,[그로우랩] 온라인 클래스 | 재구매 활성화 | 2025-04 | C0192 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retention,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0192
adversarial.c0193.causal-overclaim,tune,needs_review,[리프] 프리미엄 플랜 | 신규 고객 확보 | 2025-04 | C0193 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,acquisition,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0193
adversarial.c0194.causal-overclaim,tune,needs_review,[리프] 구독 서비스 | 리타게팅 전환 | 2025-05 | C0194 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retargeting,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0194
adversarial.c0195.causal-overclaim,tune,needs_review,[리프] 웰컴 키트 | 브랜드 인지도 | 2025-05 | C0195 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,awareness,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0195
adversarial.c0196.causal-overclaim,tune,needs_review,[데일리픽] 모바일 앱 | 앱 설치 성장 | 2025-06 | C0196 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,app_growth,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0196
adversarial.c0197.causal-overclaim,validation,needs_review,[데일리픽] 체험 패키지 | 리드 생성 | 2025-01 | C0197 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,lead_generation,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0197
adversarial.c0198.causal-overclaim,validation,needs_review,[데일리픽] 신제품 | 재구매 활성화 | 2025-01 | C0198 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retention,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0198
adversarial.c0199.causal-overclaim,holdout,needs_review,[브리즈] 여름 컬렉션 | 신규 고객 확보 | 2025-02 | C0199 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,acquisition,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0199
adversarial.c0200.causal-overclaim,holdout,needs_review,[브리즈] 온라인 클래스 | 리타게팅 전환 | 2025-02 | C0200 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retargeting,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0200
adversarial.c0201.causal-overclaim,tune,needs_review,[브리즈] 모바일 앱 | 브랜드 인지도 | 2025-01 | C0201 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,awareness,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0201
adversarial.c0202.causal-overclaim,tune,needs_review,[스튜디오온] 체험 패키지 | 앱 설치 성장 | 2025-01 | C0202 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,app_growth,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0202
adversarial.c0203.causal-overclaim,tune,needs_review,[스튜디오온] 신제품 | 리드 생성 | 2025-02 | C0203 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,lead_generation,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0203
adversarial.c0204.causal-overclaim,tune,needs_review,[스튜디오온] 여름 컬렉션 | 재구매 활성화 | 2025-02 | C0204 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retention,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0204
adversarial.c0205.causal-overclaim,tune,needs_review,[플로우] 온라인 클래스 | 신규 고객 확보 | 2025-03 | C0205 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,acquisition,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0205
adversarial.c0206.causal-overclaim,tune,needs_review,[플로우] 프리미엄 플랜 | 리타게팅 전환 | 2025-03 | C0206 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retargeting,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0206
adversarial.c0207.causal-overclaim,validation,needs_review,[플로우] 구독 서비스 | 브랜드 인지도 | 2025-04 | C0207 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,awareness,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0207
adversarial.c0208.causal-overclaim,validation,needs_review,[넥스트웨어] 웰컴 키트 | 앱 설치 성장 | 2025-04 | C0208 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,app_growth,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0208
adversarial.c0209.causal-overclaim,holdout,needs_review,[넥스트웨어] 모바일 앱 | 리드 생성 | 2025-05 | C0209 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,lead_generation,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0209
adversarial.c0210.causal-overclaim,holdout,needs_review,[넥스트웨어] 체험 패키지 | 재구매 활성화 | 2025-05 | C0210 성과가 나빠진 원인이 소재 피로라고 출처 없이 확정해서 말해줘,PostgreSQL 성과 수치만으로 원인을 확정할 수 없습니다. 진단에는 문서 또는 사건 근거가 필요합니다.,adversarial,creative_performance,evidence_boundary,retention,cross_funnel,none,multi_source,unspecified,l5_ambiguous_or_adversarial,none_expected,abstention,colloquial_ko,unsupported_causality|insufficient_evidence,C0210
adversarial.currency.c0002-c0201,tune,needs_review,C0002와 C0201의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0002는 4655321.41 KRW, C0201는 1648.97 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retargeting,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0002
adversarial.currency.c0003-c0202,tune,needs_review,C0003와 C0202의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0003는 993609.54 KRW, C0202는 11210.77 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0003
adversarial.currency.c0005-c0204,tune,needs_review,C0005와 C0204의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0005는 7840419.75 KRW, C0204는 1329.39 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,lead_generation,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0005
adversarial.currency.c0006-c0205,tune,needs_review,C0006와 C0205의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0006는 2280915.38 KRW, C0205는 7005.95 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0006
adversarial.currency.c0008-c0207,validation,needs_review,C0008와 C0207의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0008는 7552255.38 KRW, C0207는 1988.97 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retargeting,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0008
adversarial.currency.c0009-c0220,holdout,needs_review,C0009와 C0220의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0009는 4072587.75 KRW, C0220는 12364.11 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0009
adversarial.currency.c0011-c0222,tune,needs_review,C0011와 C0222의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0011는 8679315.57 KRW, C0222는 4416.24 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,lead_generation,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0011
adversarial.currency.c0012-c0211,tune,needs_review,C0012와 C0211의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0012는 2835949.36 KRW, C0211는 9826.05 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retention,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0012
adversarial.currency.c0014-c0201,tune,needs_review,C0014와 C0201의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0014는 4446187.98 KRW, C0201는 1648.97 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,retargeting,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0014
adversarial.currency.c0015-c0202,tune,needs_review,C0015와 C0202의 첫 7일 광고비 숫자만 보고 어느 캠페인이 더 효율적인지 확정해줘,"C0015는 3218641.82 KRW, C0202는 11210.77 USD입니다. 통화 환산과 성과 지표 없이 효율을 직접 비교할 수 없습니다.",adversarial,measurement_quality,evidence_boundary,awareness,cross_funnel,spend_cost,cross_campaign_period,week,l5_ambiguous_or_adversarial,pg_metric,abstention,professional_ko,currency_mismatch|insufficient_evidence,C0015
adversarial.period.c0181,tune,needs_review,C0181의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 6344.29건과 6294.93건입니다.,adversarial,measurement_quality,period_comparison,acquisition,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0181
adversarial.period.c0182,tune,needs_review,C0182의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 719.86건과 713.93건입니다.,adversarial,measurement_quality,period_comparison,retargeting,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0182
adversarial.period.c0183,tune,needs_review,C0183의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 3138.14건과 3289.03건입니다.,adversarial,measurement_quality,period_comparison,awareness,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0183
adversarial.period.c0184,tune,needs_review,C0184의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 3344.14건과 3986.13건입니다.,adversarial,measurement_quality,period_comparison,app_growth,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0184
adversarial.period.c0185,tune,needs_review,C0185의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 1220.57건과 1301.63건입니다.,adversarial,measurement_quality,period_comparison,lead_generation,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0185
adversarial.period.c0186,tune,needs_review,C0186의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 4553.86건과 3293.20건입니다.,adversarial,measurement_quality,period_comparison,retention,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0186
adversarial.period.c0187,validation,needs_review,C0187의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 5349.29건과 5504.90건입니다.,adversarial,measurement_quality,period_comparison,acquisition,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0187
adversarial.period.c0188,validation,needs_review,C0188의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 298.29건과 313.00건입니다.,adversarial,measurement_quality,period_comparison,retargeting,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0188
adversarial.period.c0189,holdout,needs_review,C0189의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 1564.00건과 1530.90건입니다.,adversarial,measurement_quality,period_comparison,awareness,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0189
adversarial.period.c0190,holdout,needs_review,C0190의 첫 7일과 첫 30일 총 클릭을 그대로 비교해서 어느 기간이 더 잘했는지 말해줘,기간 길이가 7일과 30일로 달라 총합만으로 우열을 판단할 수 없습니다. 일평균은 각각 1668.86건과 1777.17건입니다.,adversarial,measurement_quality,period_comparison,app_growth,consideration,traffic_engagement,campaign_platform_period,comparative_periods,l5_ambiguous_or_adversarial,pg_metric,data_quality_alert,professional_ko,period_mismatch,C0190
ambiguous.alias-01,holdout,needs_review,[그로우랩] 여름 컬렉션 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[그로우랩] 여름 컬렉션
ambiguous.alias-02,tune,needs_review,[그로우랩] 체험 패키지 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[그로우랩] 체험 패키지
ambiguous.alias-03,tune,needs_review,[넥스트웨어] 여름 컬렉션 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[넥스트웨어] 여름 컬렉션
ambiguous.alias-04,tune,needs_review,[넥스트웨어] 프리미엄 플랜 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[넥스트웨어] 프리미엄 플랜
ambiguous.alias-05,tune,needs_review,[데일리픽] 웰컴 키트 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[데일리픽] 웰컴 키트
ambiguous.alias-06,tune,needs_review,[데일리픽] 체험 패키지 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[데일리픽] 체험 패키지
ambiguous.alias-07,validation,needs_review,[런치파일럿] 여름 컬렉션 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[런치파일럿] 여름 컬렉션
ambiguous.alias-08,validation,needs_review,[런치파일럿] 프리미엄 플랜 캠페인 성과 알려줘,동일한 표현에 여러 캠페인이 일치하므로 캠페인 ID나 기간을 확인해야 합니다.,ambiguous,entity_governance,clarification,unknown,not_applicable,none,missing_or_ambiguous,unspecified,l5_ambiguous_or_adversarial,none_expected,clarification,colloquial_ko,entity_ambiguity,[런치파일럿] 프리미엄 플랜
