post_id,published_at,channel,title,permalink,views,likes,comments,shares,saves,save_rate,engagement_rate,follower_count,watch_time_sec,retention_rate
post_406,2026-05-25,x,Comeback date,https://x.com/team/406,44000,1700,150,260,396,0.009,0.046,641200,0,0.0
post_407,2026-05-29,x,Spotify pre-save,https://x.com/team/407,36000,1250,100,180,288,0.008,0.040,641400,0,0.0
post_501,2026-05-06,youtube,Shorts: 15s hook,https://youtube.com/shorts/501,98000,7200,300,260,1470,0.015,0.079,1241000,12,0.62
post_502,2026-05-13,youtube,Shorts: dance loop,https://youtube.com/shorts/502,134000,9900,420,360,2278,0.017,0.083,1246000,13,0.64
post_503,2026-05-20,youtube,Shorts: reaction,https://youtube.com/shorts/503,176000,13100,560,480,3344,0.019,0.088,1260000,14,0.66
post_504,2026-05-27,youtube,Shorts: teaser cut,https://youtube.com/shorts/504,240000,18500,820,720,5040,0.021,0.097,1290000,15,0.69
post_601,2026-05-07,instagram,Reel: trending audio,https://instagram.com/p/601,91000,6700,210,300,2002,0.022,0.080,930800,16,0.40
post_602,2026-05-18,instagram,Reel: member focus,https://instagram.com/p/602,87000,6400,200,280,2088,0.024,0.082,932800,15,0.39
post_603,2026-05-28,instagram,Reel: comeback hook,https://instagram.com/p/603,103000,7700,250,340,2575,0.025,0.086,936800,18,0.42
post_701,2026-05-10,tiktok,Duet with fan,https://tiktok.com/@team/701,77000,4900,280,760,1848,0.024,0.083,514000,21,0.41
post_702,2026-05-24,tiktok,Sound trend jump,https://tiktok.com/@team/702,119000,7400,460,1160,3451,0.029,0.089,523500,26,0.45
post_703,2026-05-31,tiktok,Comeback day live clip,https://tiktok.com/@team/703,512000,39000,2900,12400,42496,0.083,0.184,640000,33,0.64
